Country Name,2015,2016,2017,2018,2019,2020,2021,GDPPC
Lao PDR,2140.044323,2324.400917,2455.211559,2569.093892,2613.944427,2608.982833,2551.326081,2551.326081
Lebanon,7643.008718,7617.689634,7776.034642,8003.827612,7527.44306,3801.792743,2670.441956,2670.441956
Liberia,721.5810505,740.914906,721.085044,710.2659984,672.3404992,601.0630058,673.0890671,673.0890671
Libya,7590.442981,7687.882134,10205.32483,11482.13364,10218.04303,7614.325449,6018.445207,6018.445207
St. Lucia,10093.61802,10362.35158,11034.62983,11353.71523,11591.08044,8804.561089,9570.995457,9570.995457
Latin America & Caribbean,8629.009605,8350.020625,9188.579683,8902.399152,8699.460717,7270.703584,8340.3896,8340.3896
Least developed countries: UN classification,1009.424564,1025.998979,1119.433811,1077.493342,1105.717065,1099.201561,1176.977617,1176.977617
Low income,791.7100264,764.7048854,834.4908817,699.4114352,720.474279,703.7338455,749.7613804,749.7613804
Liechtenstein,167313.2663,165642.3863,171253.9643,176499.4026,169049.1569,,,0
Sri Lanka,3843.780672,3886.291502,4077.043841,4059.20823,3848.212376,3694.040948,3814.715219,3814.715219
Lower middle income,2109.3345,2193.471208,2322.906883,2335.303125,2411.334922,2285.711107,2581.857195,2581.857195
Low & middle income,4366.051099,4349.147276,4718.39202,4933.697969,4993.619381,4759.776082,5530.438553,5530.438553
Lesotho,1146.064688,1018.784872,1102.629728,1192.48432,1153.388058,1050.631634,1166.461667,1166.461667
Late-demographic dividend,8208.051873,8179.070874,9018.161029,9832.141379,9974.505915,9699.089375,11452.82041,11452.82041
Lithuania,14263.96458,15008.31324,16885.40739,19186.18128,19575.76848,20232.30204,23433.39091,23433.39091
Luxembourg,105462.0126,106899.2935,110193.2138,117254.7404,113218.7133,116356.158,135682.7943,135682.7943
Latvia,13786.4568,14331.75159,15695.11515,17865.03109,17926.84159,17703.95344,20642.16792,20642.16792
"Macao SAR, China",74818.94813,73545.75824,81019.47377,87526.07999,86197.36569,39403.13591,45421.62663,45421.62663
St. Martin (French part),,,,,,,,0
Morocco,2875.258057,2896.722168,3035.454346,3226.98291,3235.000732,3058.69165,3496.758301,3496.758301
Monaco,165989.5051,170028.6557,167517.0597,185978.6093,189487.1471,173688.1894,,173688.1894
Moldova,2732.46073,2880.43529,3509.686829,4230.626969,4492.10574,4525.759654,5314.531461,5314.531461
Madagascar,467.2354316,475.9555568,515.2933234,518.401123,526.2245722,477.6130414,514.9058618,514.9058618
Maldives,9033.41027,9209.443564,9577.346946,10279.07998,10561.61351,6924.105745,8994.641352,8994.641352
Middle East & North Africa,7375.464756,7307.448457,7469.549834,7704.420769,7587.355596,6688.08728,7696.86848,7696.86848
Mexico,9616.645558,8744.515559,9287.849587,9686.984927,9950.217622,8431.665017,9926.422768,9926.422768
Marshall Islands,3199.886846,3490.998389,3672.576783,3793.550983,4073.10983,4129.850998,4170.981918,4170.981918
Middle income,4755.93561,4745.70858,5154.4311,5415.611006,5487.844058,5237.022473,6102.000869,6102.000869
North Macedonia,4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,5846.465899,6720.896285,6720.896285
Mali,751.4728892,780.7235497,830.0214445,894.8048435,879.0431675,862.453012,917.9130633,917.9130633
Malta,24921.60368,25624.53727,28857.01987,31573.11656,31185.64962,28946.46268,33257.42203,33257.42203
Myanmar,1196.743333,1136.610627,1151.114464,1250.173685,1271.111536,1450.662673,1187.238484,1187.238484
Middle East & North Africa (excluding high income),3931.556278,3962.898791,3864.148677,3604.925763,3574.162674,3190.325097,3612.245533,3612.245533
Montenegro,6517.189614,7033.438006,7803.362579,8850.378404,8909.890151,7694.633759,9367.016884,9367.016884
Mongolia,3875.321675,3658.3903,3687.100003,4156.84697,4404.84583,4060.950518,4534.918589,4534.918589
Northern Mariana Islands,16314.38355,21891.18479,27584.74351,22886.67405,20659.64029,,,0
Mozambique,589.8594314,428.9264503,461.4149278,503.3020092,506.8171391,448.8438914,500.4448085,500.4448085
Mauritania,1524.073317,1536.855615,1587.858904,1669.773476,1743.301317,1702.486959,1723.013866,1723.013866
Mauritius,9260.447303,9681.618567,10484.90836,11208.34382,11097.16898,8632.752859,8812.108249,8812.108249
Malawi,380.5969877,315.7779871,506.1372944,544.5934593,591.8470837,636.2863096,642.6569158,642.6569158
Malaysia,9955.242722,9817.78709,10259.30481,11380.07922,11432.82603,10412.34767,11371.09902,11371.09902
North America,55452.42138,56312.43488,58430.1986,61158.56356,63175.74013,61000.85526,67514.02312,67514.02312
Namibia,4896.61526,4546.986688,5367.114674,5588.392864,5028.295342,4157.019506,4729.270937,4729.270937
New Caledonia,32520.30457,32391.20197,33976.54853,36382.49553,34788.54031,34694.5504,,34694.5504
Niger,484.1531374,500.2149113,517.7715723,570.723922,554.0993893,567.6698923,594.9251089,594.9251089
Nigeria,2687.480056,2176.002772,1968.565398,2027.778549,2229.858652,2097.092473,2085.030765,2085.030765
Nicaragua,2049.851666,2107.57406,2159.161926,2014.575189,1924.471816,1900.043594,2090.753461,2090.753461
Netherlands,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,52396.03221,58061.00167,58061.00167
Norway,74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,67329.67779,89202.75054,89202.75054
Nepal,901.7496077,899.523581,1048.453755,1178.525957,1194.957236,1147.471971,1222.878794,1222.878794
Nauru,8341.012278,9521.042101,10339.38548,11614.66508,11029.73558,10580.26819,12252.2668,12252.2668
New Zealand,38630.72659,40058.19616,42924.9956,43250.44097,42865.23364,41596.5055,48801.68513,48801.68513
OECD members,35590.73172,36037.76772,37377.57018,39306.7924,39478.31197,38116.42222,42098.64597,42098.64597
Oman,18444.927,16772.73921,17329.18546,18947.3665,17700.70349,14485.38612,16439.29645,16439.29645
Other small states,12780.72639,12385.43331,13215.42974,14368.92697,13799.29553,11792.06642,13776.75585,13776.75585
Pakistan,1356.667831,1540.184503,1631.531909,1678.04315,1481.813864,1359.514522,1537.936411,1537.936411
Panama,13630.30115,14343.98026,15146.40851,15544.99908,15774.25495,12509.83529,14516.45805,14516.45805
Peru,6229.100674,6204.996457,6710.507602,6958.497262,7023.077526,6117.493571,6692.248375,6692.248375
Philippines,3001.043182,3073.654686,3123.245642,3252.110274,3485.340844,3301.218603,3548.828323,3548.828323
Palau,15876.46193,16835.986,16019.98989,15895.2599,15232.48708,14243.86469,,14243.86469
Papua New Guinea,2679.346579,2509.629637,2695.249009,2801.371393,2820.306397,2757.011019,2916.357349,2916.357349
Poland,12578.49547,12447.43959,13864.68176,15468.48222,15732.20313,15742.45373,17840.92105,17840.92105
Pre-demographic dividend,1563.731184,1396.061296,1446.507196,1438.529516,1474.823822,1349.15316,1437.208502,1437.208502
Puerto Rico,29763.4883,30627.1634,31108.76057,31604.70151,32850.54861,31429.86612,,31429.86612
"Korea, Dem. People's Rep.",,,,,,,,0
Portugal,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22194.56611,24262.18094,24262.18094
Paraguay,5413.776021,5324.609068,5678.869972,5782.78455,5383.574422,4967.687212,5400.103826,5400.103826
West Bank and Gaza,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638,3663.969055,3663.969055
Pacific island small states,3832.551181,3965.895179,4222.557375,4340.564704,4271.583766,3785.503406,3798.752777,3798.752777
Post-demographic dividend,40669.04208,41401.37787,42995.85935,45413.55092,45728.10123,44330.3117,48916.17657,48916.17657
French Polynesia,19500.10086,20020.09386,21127.06433,22094.75746,21512.2733,20182.5845,,20182.5845
Qatar,63039.11263,57162.96801,59124.86727,65907.94843,62087.97413,50124.38594,61275.99827,61275.99827
Romania,8969.148921,9548.587403,10807.00917,12398.98198,12899.34611,12956.56625,14861.90917,14861.90917
Russia,9313.013672,8704.898438,10720.33301,11287.36035,11536.25098,10161.98242,12172.78516,12172.78516
Rwanda,751.1105055,744.7943858,772.2948846,783.8127901,820.1772393,786.3018148,833.8298757,833.8298757
South Asia,1543.048131,1696.739629,1911.329754,1944.006635,1987.56834,1875.441391,2176.776671,2176.776671
